Molecule ChEMBL ID,Smiles,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Standard Value,pIC50,pChEMBL Value,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL101962,COc1cc(CC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Cc2cc(OC)c(OC)c(OC)c2)C(C)C)C(C)C)cc(OC)c1OC,,,915.09,3,3.98,3.4,8.468521083,8.47,UO_0000065,9.25,0.18,4.49,3.99,0,Inhibition of HIV protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1128495,1,Scientific Literature,J Med Chem,1995,,,,
CHEMBL102664,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)SC1(C)C,,,907.18,2,2.93,0.9,9.045757491,9.05,UO_0000065,9.97,0.19,6.12,4.55,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126855,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL103213,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2OC[C@H]1O,,,560.69,1,4.34,0.1799,9.744968837,9.74,UO_0000065,17.38,0.32,5.4,8.32,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1133609,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL103217,COC(=O)c1c(Br)c(OC)c2c(c1-c1c3c(c(OC)c(Br)c1C(=O)OC)OCO3)OCO2,,,576.15,1,3.93,48,7.318758763,7.32,UO_0000065,12.7,0.31,3.39,6.78,0,IC50 value was measured as DNA dependent DNA polymerase associated activity by using 0.05 units of radiolabeled template poly(rA)-oligo(dT).,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1128496,1,Scientific Literature,J Med Chem,1995,,,,
CHEMBL103400,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2[C@@H](O)[C@H]1O,,,560.69,1,4,0.1,10,10,UO_0000065,17.84,0.33,6,7.81,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1133609,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL103783,CC(C)[C@H](NC(=O)CC1NC(=O)NC1=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CC1NC(=O)NC1=O)C(C)C,,,778.86,2,-1.36,9.6,8.017728767,8.02,UO_0000065,10.29,0.2,9.38,2.93,0,Inhibition of HIV protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1128495,1,Scientific Literature,J Med Chem,1995,,,,
CHEMBL103821,Cc1ccc(C[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N[C@@H]2c3ccccc3C[C@H]2O)cc1,,,558.72,1,4.82,0.2897,9.538051505,9.54,UO_0000065,17.07,0.32,4.72,8.84,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1133609,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL104118,CCNC(=O)[C@@H](NC(=O)CCc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CCc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,811.09,2,1.35,2.4,8.619788758,8.62,UO_0000065,10.63,0.21,7.27,4.34,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL104375,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)N[C@H](Cc1ccccc1)[C@H](O)CC(N)=O,,,631.8,2,1.8,82,7.086186148,7.09,UO_0000065,11.22,0.22,5.29,4.36,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126855,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL104471,CC(C)=CCCC(C)C1=C(O)C(CCc2ccccc2)(C(=O)NC(C)(C)C)OC1=O,,,413.56,1,5.02,1000,6,6,UO_0000065,14.51,0.27,0.98,7.93,0,Inhibitory concentration against Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1146787,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,
CHEMBL104509,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)NC1C(=O)NCCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)SC1(C)C,,,921.2,2,3.32,540,6.26760624,6.27,UO_0000065,6.8,0.13,2.95,3.15,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126853,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL104525,COC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)OC)SC2(C)C)C(C)(C)S1,,,756.95,3,0.64,60,7.22184875,7.22,UO_0000065,9.54,0.19,6.58,3.74,0,Inhibitory activity towards HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1125526,1,Scientific Literature,J Med Chem,1992,,,,
CHEMBL104576,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)N[C@H](Cc1ccccc1)[C@H](O)CC(=O)Nc1nc2ccccc2[nH]1,,,747.92,2,3.83,3.8,8.420216403,8.42,UO_0000065,11.26,0.21,4.59,4.75,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126855,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL104683,CCNC(=O)[C@@H](NC(=O)CC(C)C)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC(C)C)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,715,2,0.17,8.7,8.060480747,8.06,UO_0000065,11.27,0.23,7.89,4.06,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL105299,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@]1(C)c2ccccc2C[C@H]1O,,,558.72,1,4.68,212.32,6.673009094,6.67,UO_0000065,11.94,0.22,1.99,6.19,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1133609,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL105319,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CSc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@H]1O,,,576.76,2,5.06,0.25,9.602059991,9.6,UO_0000065,16.65,0.32,4.54,8.9,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1133609,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL105459,CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C,,,614.74,2,0.65,15,7.823908741,7.82,UO_0000065,12.73,0.24,7.17,4.46,0,inhibitory activity against purified HIV-1 protease in a standardized spectrophotometric assay expressed in Escherichia coli,B,BAO_0000019,assay format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1131116,1,Scientific Literature,J Med Chem,1998,,,,
CHEMBL105695,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(N)=O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(N)=O)SC1(C)C,,,726.93,2,-0.74,3,8.522878745,8.52,UO_0000065,11.72,0.23,9.26,3.76,1,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL105851,CCNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,783.03,2,0.57,4.8,8.318758763,8.32,UO_0000065,10.62,0.21,7.75,4.19,1,The compound was tested in vitro for its inhibitory activity against HIV-1 Proteinase activity,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1127200,1,Scientific Literature,Bioorg Med Chem Lett,1993,,,,
CHEMBL105879,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccn2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccn2)SC1(C)C,,,909.15,3,1.72,11,7.958607315,7.96,UO_0000065,8.75,0.17,6.24,3.55,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL105880,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2)SC1(C)C,,,978.04,3,3.02,7.5,8.124938737,8.12,UO_0000065,8.31,0.17,5.1,3.62,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106282,CCNC(=O)[C@@H](NC(=O)c1ccccc1Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,935.23,2,3.89,72,7.142667504,7.14,UO_0000065,7.64,0.15,3.25,3.6,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106486,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccn1)C(C)C,,,738.89,1,4.49,4.8,8.318758763,8.32,UO_0000065,11.26,0.21,3.83,4.6,0,Inhibition of purified recombinant HIV-1 protease in a fluorogenic assay,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126582,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106530,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)C(=O)Nc1ccc2ccccc2n1,,,669.91,2,5.72,52.48,7.280006174,7.28,UO_0000065,10.87,0.2,1.56,5.89,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1131491,1,Scientific Literature,J Med Chem,1998,,,,
CHEMBL106623,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)OCc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)OCc2ccccc2)SC1(C)C,,,909.14,3,3.78,75,7.124938737,7.12,UO_0000065,7.84,0.15,3.34,3.69,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106633,CCNC(=O)[C@@H](NC(=O)/C=C\c1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)/C=C\c3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,807.06,2,1.51,2.9,8.537602002,8.54,UO_0000065,10.58,0.21,7.03,4.3,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106748,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N2CCCCC2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N2CCCCC2)SC1(C)C,,,863.16,2,2.32,6.9,8.161150909,8.16,UO_0000065,9.45,0.19,5.84,4.51,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106765,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)N[C@H](Cc1ccccc1)[C@H](O)CC(=O)NCc1ccccc1,,,721.92,2,3.63,4.6,8.337242168,8.34,UO_0000065,11.55,0.22,4.71,5.61,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126855,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106805,CC(C)CNC(=O)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)SC1(C)C,,,687.91,2,3.09,69,7.161150909,7.16,UO_0000065,10.41,0.2,4.07,4.82,0,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126855,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106965,CCNC(=O)[C@@H](NC(=O)c1ccccc1Oc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3Oc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,939.17,3,4.29,160,6.795880017,6.8,UO_0000065,7.24,0.14,2.51,3.13,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL106991,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,,,955.21,3,1.21,21,7.677780705,7.68,UO_0000065,8.04,0.16,6.47,3.06,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL107015,CCNC(=O)[C@@H](NS(=O)(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NS(=O)(=O)Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,,,855.14,3,0.09,58,7.236572006,7.24,UO_0000065,8.46,0.18,7.15,3.11,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL10725,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc2ccccc2n1)NS(C)(=O)=O,,,648.85,1,4.1,60,7.22184875,7.22,UO_0000065,11.13,0.22,3.12,5.25,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
