,Name,Structure,Solubility,Prediction
36,CHEMBL111259,CC(C)C(NC(=O)OCC1=CC=CC=C1)C(=O)NN(CC1CCCCC1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,Moderate,-4.800053
37,CHEMBL11116,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C[S+]([O-])C1=CC=CC2=CC=CC=C12)NS(C)(=O)=O,Moderate,-3.377344
38,CHEMBL111143,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2OC[C@H]1O,Soluble,-4.0651946
39,CHEMBL110865,CC(C)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=NC=C1)C(C)C,Moderate,-2.8005161
40,CHEMBL110603,CC(C)[C@H](NC(=O)OCC1CCCCN1C)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,Insoluble,-4.18507
41,CHEMBL110557,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1)C(C)C,Moderate,-4.4213915
42,CHEMBL11050,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=C2C=CC=CC2=C1)NS(C)(=O)=O,Moderate,-3.7674444
43,CHEMBL110348,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2OC[C@@H]1O,Moderate,-4.0651946
44,CHEMBL11008,CC(=O)N[C@@H](CSC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CC1=CC=CC=C1C(=O)NC(C)(C)C,Moderate,-4.147639
45,CHEMBL109992,CC(C)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NS(=O)(=O)CCC1=CC=CC=N1)C(C)C,Soluble,-3.021938
46,CHEMBL109976,CC(C)[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,Moderate,-3.9313922
47,CHEMBL109952,O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)[C@H](CC1=CC=CC=C1)CC(O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,Moderate,-3.1474814
48,CHEMBL109699,CC(C)[C@H](NC(=O)CCN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)CCN1CCOCC1)C(C)C,Soluble,-3.0248215
49,CHEMBL109500,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,Moderate,-3.9969952
50,CHEMBL109371,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=C1)C(C)C,Moderate,-3.9601908
51,CHEMBL109221,CC(C)[C@H](NC(=O)OCC1=CC=NC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=NC=C1)C(C)C,Moderate,-3.7464433
52,CHEMBL109220,CC(C)[C@H](NC(=O)CCC1=CC=CN=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)CCC1=CC=CN=C1)C(C)C,Soluble,-3.4284616
53,CHEMBL108960,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,Moderate,-3.9737988
54,CHEMBL108918,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CSC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,Moderate,-3.956187
55,CHEMBL10890,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(=O)OCC1=CC=CC=C1,Soluble,-3.923824
56,CHEMBL108807,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC(C)C)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,Soluble,-3.66924
57,CHEMBL108471,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1CCCC[C@H]1O,Soluble,-3.8325152
58,CHEMBL108429,COCCOC(=O)NC(C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC1CCCCC1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,Moderate,-4.0655284
59,CHEMBL108102,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(O)CN(CC1=CC=C(F)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,Moderate,-4.0183597
60,CHEMBL10777,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=CC=C1)NS(C)(=O)=O,Moderate,-3.5769413
61,CHEMBL107748,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1C1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3C3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Moderate,-4.569
62,CHEMBL107744,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)N[C@@H](CO)C1=CC=CC=C1,Soluble,-3.8736749
63,CHEMBL107701,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OCCOC)C(C)C)C(C)C,Moderate,-4.238307
64,CHEMBL107559,CCOC(=O)NC(C(=O)NN(CC1CCCCC1)C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C(NC(=O)OC)C(C)C)C(C)C,Moderate,-4.170983
65,CHEMBL107393,CCNC(=O)[C@@H](NC(=O)CC1=CC=CS1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CS3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Soluble,-3.4216902
66,CHEMBL107369,COC(=O)[C@@H]1CC2=CC=CC=C2[C@@H]1NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C,Moderate,-4.3089004
67,CHEMBL107310,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC(=O)O)SC1(C)C,Soluble,-3.4090476
68,CHEMBL107259,CC(C)(C)OC(=O)N[C@@H](CC1=CC=C(O)C=C1)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)NCC1=CC=CC=C1,Soluble,-4.2528996
69,CHEMBL107250,CC1(C)S[C@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@@H](CO)NC(=O)CC2=CC=CC=C2)SC1(C)C,Soluble,-3.2092383
70,CHEMBL10725,CC(C)(C)NC(=O)C1=CC=CC=C1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CSC1=CC=C2C=CC=CC2=N1)NS(C)(=O)=O,Moderate,-3.5397768
71,CHEMBL107015,CCNC(=O)[C@@H](NS(=O)(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Soluble,-3.4870272
72,CHEMBL106991,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,Moderate,-5.056242
73,CHEMBL106965,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1OC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3OC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Moderate,-4.9296207
74,CHEMBL106805,CC(C)CNC(=O)C[C@@H](O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,Moderate,-3.9919233
75,CHEMBL106765,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)NCC1=CC=CC=C1,Moderate,-4.1524987
76,CHEMBL106748,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)N2CCCCC2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)N2CCCCC2)SC1(C)C,Soluble,-4.116731
77,CHEMBL106633,CCNC(=O)[C@@H](NC(=O)/C=C\C1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)/C=C\C3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Soluble,-4.201798
78,CHEMBL106623,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)OCC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)OCC2=CC=CC=C2)SC1(C)C,Moderate,-4.8002696
79,CHEMBL106530,CC(C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)C(=O)NC1=CC=C2C=CC=CC2=N1,Moderate,-4.0840516
80,CHEMBL106486,CC(C)[C@H](NC(=O)OCC1=CC=CC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](NC(=O)OCC1=CC=CC=N1)C(C)C,Moderate,-3.9690728
81,CHEMBL106282,CCNC(=O)[C@@H](NC(=O)C1=CC=CC=C1CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)C3=CC=CC=C3CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Moderate,-4.4322853
82,CHEMBL105880,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=N2)C(=O)NCC2=CC=C(Cl)C=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=N2)C(=O)NCC2=CC=C(Cl)C=C2)SC1(C)C,Soluble,-4.7146935
83,CHEMBL105879,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=N2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=N2)SC1(C)C,Soluble,-4.194464
84,CHEMBL105851,CCNC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Soluble,-3.89291
85,CHEMBL105695,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(N)=O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(N)=O)SC1(C)C,Soluble,-3.7101169
86,CHEMBL105459,CNC(=O)[C@@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C,Soluble,-3.4082801
87,CHEMBL105319,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CSC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2C[C@H]1O,Moderate,-3.9561868
88,CHEMBL105299,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@]1(C)C2=CC=CC=C2C[C@H]1O,Soluble,-3.9913833
89,CHEMBL104683,CCNC(=O)[C@@H](NC(=O)CC(C)C)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC(C)C)C(=O)NCC)SC2(C)C)C(C)(C)S1,Moderate,-3.4428282
90,CHEMBL104576,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(=O)NC1=NC2=CC=CC=C2N1,Moderate,-4.33181
91,CHEMBL104525,COC(=O)[C@@H](NC(=O)CC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC3=CC=CC=C3)C(=O)OC)SC2(C)C)C(C)(C)S1,Soluble,-4.1935735
92,CHEMBL104509,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)NC1C(=O)NCCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,Soluble,-4.682383
93,CHEMBL104471,CC(C)=CCCC(C)C1=C(O)C(CCC2=CC=CC=C2)(C(=O)NC(C)(C)C)OC1=O,Moderate,-5.38347
94,CHEMBL104375,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)N[C@H](CC1=CC=CC=C1)[C@H](O)CC(N)=O,Soluble,-4.0999274
95,CHEMBL104118,CCNC(=O)[C@@H](NC(=O)CCC1=CC=CC=C1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CCC3=CC=CC=C3)C(=O)NCC)SC2(C)C)C(C)(C)S1,Soluble,-3.98006
96,CHEMBL103821,CC1=CC=C(C[C@H](C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(=O)N[C@@H]2C3=CC=CC=C3C[C@H]2O)C=C1,Moderate,-3.9346285
97,CHEMBL103783,CC(C)[C@H](NC(=O)CC1NC(=O)NC1=O)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CC1NC(=O)NC1=O)C(C)C,Moderate,-4.5907965
98,CHEMBL103400,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2[C@@H](O)[C@H]1O,Soluble,-3.655995
99,CHEMBL103217,COC(=O)C1=C(Br)C(OC)=C2OCOC2=C1C1=C2OCOC2=C(OC)C(Br)=C1C(=O)OC,Moderate,-4.658838
100,CHEMBL103213,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1C2=CC=CC=C2OC[C@H]1O,Moderate,-4.0651946
101,CHEMBL102664,CC1(C)S[C@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)CC2=CC=CC=C2)C(=O)NCC2=CC=CC=C2)SC1(C)C,Soluble,-4.5506763
102,CHEMBL101962,COC1=C(OC)C(OC)=CC(CC(=O)N[C@H](C(=O)N[C@@H](CC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)CC2=CC(OC)=C(OC)C(OC)=C2)C(C)C)C(C)C)=C1,Moderate,-4.3466244
103,CHEMBL101560,O=C(N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O)OC1CCCC1,Soluble,-3.6415653
